x,[Na_o] = 1.5mM,[Na_o] = 50mM,[Na_o] = 100mM,[Na_o] = 150mM
-119.983,50.2046,37.7394,23.7806,13.319
-119.98,50.2046,37.74,23.7821,13.3203
-119.943,50.2041,37.7467,23.7997,13.3348
-119.741,50.2016,37.7829,23.8957,13.4137
-99.976,50.6716,41.8458,32.7254,21.225
-99.959,50.6732,41.8501,32.7319,21.2318
-99.944,50.6745,41.8539,32.7376,21.2378
-99.5,50.7174,41.9684,32.9097,21.4178
-79.928,53.1396,47.1511,39.3072,29.4052
-79.902,53.1416,47.1566,39.3153,29.4158
-79.781,53.1508,47.1815,39.3523,29.4641
-79.688,53.1578,47.2007,39.3809,29.5015
-59.899,53.4673,49.6894,45.1238,37.1142
-59.872,53.4679,49.6921,45.1304,37.1244
-59.836,53.4687,49.6956,45.1392,37.1378
-59.698,53.4719,49.7089,45.1725,37.189
-40.158,54.5352,51.733,48.8572,43.7816
-39.943,54.545,51.7535,48.8923,43.8415
-39.795,54.5517,51.7677,48.9166,43.8826
-39.771,54.5528,51.77,48.9206,43.8895
-20.327,54.9022,53.2468,51.7678,48.2591
-20.241,54.9033,53.2518,51.7769,48.277
-20.182,54.9041,53.2552,51.783,48.2891
-20.069,54.9056,53.2619,51.7949,48.3126
-0.347,55.3379,54.209,53.0271,52.1066
-0.287,55.3392,54.2116,53.0294,52.1153
-0.257,55.3399,54.2129,53.0307,52.1198
-0.156,55.3421,54.2173,53.0347,52.1345
19.461,55.529,55.0314,53.9493,53.9655
19.466,55.529,55.0316,53.9496,53.9658
19.701,55.5275,55.0403,53.9649,53.9809
19.709,55.5275,55.0406,53.9654,53.9814
39.464,55.1521,55.162,55.1278,55.1276
39.498,55.1512,55.1603,55.1283,55.1294
39.499,55.1511,55.1603,55.1283,55.1295
39.569,55.1493,55.1569,55.1294,55.1331
59.521,54.6115,53.1865,54.3607,56.0602
59.563,54.6104,53.1813,54.358,56.0621
59.596,54.6095,53.1772,54.3558,56.0636
59.636,54.6084,53.1723,54.3532,56.0653
