environment | t (second),environment | v_cyc_nak (per_second),environment | Vm (mV)
0,13.7377,-120
0.1,13.7724,-119.9
0.2,13.8071,-119.8
0.3,13.8419,-119.7
0.4,13.8768,-119.6
0.5,13.9117,-119.5
0.6,13.9467,-119.4
0.7,13.9817,-119.3
0.8,14.0168,-119.2
0.9,14.0519,-119.1
1,14.0871,-119
1.1,14.1223,-118.9
1.2,14.1576,-118.8
1.3,14.1929,-118.7
1.4,14.2283,-118.6
1.5,14.2638,-118.5
1.6,14.2993,-118.4
1.7,14.3348,-118.3
1.8,14.3704,-118.2
1.9,14.4061,-118.1
2,14.4418,-118
2.1,14.4776,-117.9
2.2,14.5134,-117.8
2.3,14.5492,-117.7
2.4,14.5852,-117.6
2.5,14.6211,-117.5
2.6,14.6572,-117.4
2.7,14.6932,-117.3
2.8,14.7294,-117.2
2.9,14.7655,-117.1
3,14.8018,-117
3.1,14.838,-116.9
3.2,14.8744,-116.8
3.3,14.9108,-116.7
3.4,14.9472,-116.6
3.5,14.9837,-116.5
3.6,15.0202,-116.4
3.7,15.0568,-116.3
3.8,15.0934,-116.2
3.9,15.1301,-116.1
4,15.1669,-116
4.1,15.2036,-115.9
4.2,15.2405,-115.8
4.3,15.2774,-115.7
4.4,15.3143,-115.6
4.5,15.3513,-115.5
4.6,15.3883,-115.4
4.7,15.4254,-115.3
4.8,15.4625,-115.2
4.9,15.4997,-115.1
5,15.537,-115
5.1,15.5742,-114.9
5.2,15.6116,-114.8
5.3,15.649,-114.7
5.4,15.6864,-114.6
5.5,15.7239,-114.5
5.6,15.7614,-114.4
5.7,15.799,-114.3
5.8,15.8366,-114.2
5.9,15.8742,-114.1
6,15.912,-114
6.1,15.9497,-113.9
6.2,15.9875,-113.8
6.3,16.0254,-113.7
6.4,16.0633,-113.6
6.5,16.1013,-113.5
6.6,16.1393,-113.4
6.7,16.1773,-113.3
6.8,16.2154,-113.2
6.9,16.2536,-113.1
7,16.2917,-113
7.1,16.33,-112.9
7.2,16.3683,-112.8
7.3,16.4066,-112.7
7.4,16.445,-112.6
7.5,16.4834,-112.5
